,latitude,longitude,altitude,geometry,coordinates,timestamp,version,changeset,type,building,addr:street,addr:housename,building:levels,id,addr:city,addr:postcode,addr:housenumber,d_num,name,amenity,club,shop,source,addr:country,office,administrative,training,tourism,cuisine,leisure,healthcare,opening_hours,outdoor_seating,phone,website,studio,layer,resort,fuel:cng,fuel:diesel,fuel:octane_92,fuel:octane_95,building:flats,highway,ref,oneway,surface,lanes,maxspeed,bridge,service,name:ru,living_street,tracktype,junction,footway,tunnel,fixme,ford,railway,traffic_signals,access,barrier,crossing,smoking,internet_access,entrance,bus,public_transport,waterway,foot,horse,bicycle,motor_vehicle
0,,,,"POLYGON ((61.8661061 57.3591223, 61.8660391 57.3591221, 61.8660396 57.3590714, 61.8665462 57.3590731, 61.8665467 57.3590238, 61.8666289 57.359024, 61.866633 57.3586575, 61.8668491 57.3586582, 61.8668457 57.358957, 61.8668073 57.3589568, 61.8668055 57.3591246, 61.8666827 57.3591242, 61.8661061 57.3591223))","61.8661061,57.3591223,61.8660391,57.3591221,61.8660396,57.3590714,61.8665462,57.3590731,61.8665467,57.3590238,61.8666289,57.359024,61.866633,57.3586575,61.8668491,57.3586582,61.8668457,57.358957,61.8668073,57.3589568,61.8668055,57.3591246,61.8666827,57.3591242,61.8661061,57.3591223",1970-01-01T00:00:01Z,1,1,multipolygon,apartments,Паровозников,,5.0,relation/10154689,Артёмовский,623782.0,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,"POLYGON ((61.8560398 57.3642056, 61.8560586 57.3637243, 61.8562659 57.3637267, 61.8562471 57.3642079, 61.8560398 57.3642056))","61.8560398,57.3642056,61.8560586,57.3637243,61.8562659,57.3637267,61.8562471,57.3642079,61.8560398,57.3642056",1970-01-01T00:00:01Z,1,1,,apartments,Спортивный,,,way/68008996,Артёмовский,623782.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,"POLYGON ((61.8715288 57.3609526, 61.8712 57.36037, 61.8714074 57.360336, 61.8717362 57.3609186, 61.8715288 57.3609526))","61.8715288,57.3609526,61.8712,57.36037,61.8714074,57.360336,61.8717362,57.3609186,61.8715288,57.3609526",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68008997,Артёмовский,623782.0,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,"POLYGON ((61.8569434 57.3566743, 61.8569555 57.356056, 61.8571713 57.3560572, 61.8571592 57.3566755, 61.8569434 57.3566743))","61.8569434,57.3566743,61.8569555,57.356056,61.8571713,57.3560572,61.8571592,57.3566755,61.8569434,57.3566743",1970-01-01T00:00:01Z,1,1,,apartments,Чехова,,,way/68009002,Артёмовский,623782.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,"POLYGON ((61.8711365 57.3602206, 61.8707852 57.3596356, 61.8709844 57.3596009, 61.8713357 57.3601857, 61.8711365 57.3602206))","61.8711365,57.3602206,61.8707852,57.3596356,61.8709844,57.3596009,61.8713357,57.3601857,61.8711365,57.3602206",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68009004,Артёмовский,623782.0,94,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,"POLYGON ((61.8652425 57.363154, 61.8650519 57.3631527, 61.8650666 57.3625195, 61.8652572 57.3625207, 61.8652425 57.363154))","61.8652425,57.363154,61.8650519,57.3631527,61.8650666,57.3625195,61.8652572,57.3625207,61.8652425,57.363154",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,5.0,way/68009005,Артёмовский,623782.0,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,"POLYGON ((61.8693022 57.3585095, 61.8695014 57.358429, 61.8701706 57.3589103, 61.8699715 57.3589909, 61.8693022 57.3585095))","61.8693022,57.3585095,61.8695014,57.358429,61.8701706,57.3589103,61.8699715,57.3589909,61.8693022,57.3585095",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68009007,Артёмовский,623782.0,98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,"POLYGON ((61.8565759 57.364208, 61.8565947 57.3637268, 61.8568021 57.3637291, 61.8567833 57.3642104, 61.8565759 57.364208))","61.8565759,57.364208,61.8565947,57.3637268,61.8568021,57.3637291,61.8567833,57.3642104,61.8565759,57.364208",1970-01-01T00:00:01Z,1,1,,apartments,Спортивный,,,way/68009008,Артёмовский,623782.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,"POLYGON ((61.8650642 57.3615408, 61.8650638 57.3613879, 61.8669763 57.3613865, 61.8669767 57.3615393, 61.8650642 57.3615408))","61.8650642,57.3615408,61.8650638,57.3613879,61.8669763,57.3613865,61.8669767,57.3615393,61.8650642,57.3615408",1970-01-01T00:00:01Z,1,1,,apartments,Акулова,,5.0,way/68009010,Артёмовский,623782.0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,"POLYGON ((61.8686629 57.3610209, 61.8686621 57.3608926, 61.869849 57.3608905, 61.8698498 57.3610187, 61.8686629 57.3610209))","61.8686629,57.3610209,61.8686621,57.3608926,61.869849,57.3608905,61.8698498,57.3610187,61.8686629,57.3610209",1970-01-01T00:00:01Z,1,1,,apartments,Акулова,,5.0,way/68009012,Артёмовский,623782.0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,"POLYGON ((61.8715441 57.3669551, 61.8715658 57.3663051, 61.871782 57.3663075, 61.8717766 57.3664508, 61.8717576 57.366956, 61.871673 57.3669547, 61.8715441 57.3669551))","61.8715441,57.3669551,61.8715658,57.3663051,61.871782,57.3663075,61.8717766,57.3664508,61.8717576,57.366956,61.871673,57.3669547,61.8715441,57.3669551",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68009013,Артёмовский,623782.0,42/1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,"POLYGON ((61.865222 57.364114, 61.8650327 57.3641126, 61.8650542 57.3632782, 61.8652435 57.3632796, 61.865222 57.364114))","61.865222,57.364114,61.8650327,57.3641126,61.8650542,57.3632782,61.8652435,57.3632796,61.865222,57.364114",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,5.0,way/68009016,Артёмовский,623782.0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,"POLYGON ((61.8715274 57.3679682, 61.8715341 57.3672964, 61.8716573 57.367296, 61.8717403 57.3672956, 61.8717309 57.367969, 61.8715274 57.3679682))","61.8715274,57.3679682,61.8715341,57.3672964,61.8716573,57.367296,61.8717403,57.3672956,61.8717309,57.367969,61.8715274,57.3679682",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68009018,Артёмовский,623782.0,42/2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,"POLYGON ((61.8686378 57.3587655, 61.8688085 57.3586953, 61.8697478 57.3593603, 61.8695771 57.3594305, 61.8686378 57.3587655))","61.8686378,57.3587655,61.8688085,57.3586953,61.8697478,57.3593603,61.8695771,57.3594305,61.8686378,57.3587655",1970-01-01T00:00:01Z,1,1,,apartments,Заводская,,5.0,way/68009019,Артёмовский,623782.0,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,"POLYGON ((61.8716458 57.3644528, 61.8716641 57.3638097, 61.8719037 57.3638117, 61.8718853 57.3644548, 61.8716458 57.3644528))","61.8716458,57.3644528,61.8716641,57.3638097,61.8719037,57.3638117,61.8718853,57.3644548,61.8716458,57.3644528",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68009021,Артёмовский,623782.0,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,"POLYGON ((61.8650546 57.3594566, 61.865303 57.3594547, 61.8653371 57.3609554, 61.8652574 57.3609556, 61.865088 57.3609578, 61.8650546 57.3594566))","61.8650546,57.3594566,61.865303,57.3594547,61.8653371,57.3609554,61.8652574,57.3609556,61.865088,57.3609578,61.8650546,57.3594566",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,5.0,way/68009025,Артёмовский,623782.0,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,"POLYGON ((61.8675265 57.3608924, 61.8674898 57.3597643, 61.8677095 57.3597622, 61.8677462 57.3608903, 61.8675265 57.3608924))","61.8675265,57.3608924,61.8674898,57.3597643,61.8677095,57.3597622,61.8677462,57.3608903,61.8675265,57.3608924",1970-01-01T00:00:01Z,1,1,,apartments,Паровозников,,5.0,way/68009030,Артёмовский,623782.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,"POLYGON ((61.865269 57.3623879, 61.8650517 57.3623855, 61.8650776 57.3616858, 61.8652952 57.3616882, 61.865269 57.3623879))","61.865269,57.3623879,61.8650517,57.3623855,61.8650776,57.3616858,61.8652952,57.3616882,61.865269,57.3623879",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,5.0,way/68009031,Артёмовский,623782.0,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,"POLYGON ((61.8550207 57.3642096, 61.8550395 57.3637283, 61.8552469 57.3637307, 61.8552281 57.3642119, 61.8550207 57.3642096))","61.8550207,57.3642096,61.8550395,57.3637283,61.8552469,57.3637307,61.8552281,57.3642119,61.8550207,57.3642096",1970-01-01T00:00:01Z,1,1,,apartments,Спортивный,,,way/68009033,Артёмовский,623782.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,"POLYGON ((61.8664435 57.3609178, 61.8664271 57.3597512, 61.8666982 57.3597501, 61.8667141 57.3608888, 61.8671527 57.3608871, 61.8671562 57.3611417, 61.8666243 57.3611438, 61.8666211 57.3609171, 61.8664435 57.3609178))","61.8664435,57.3609178,61.8664271,57.3597512,61.8666982,57.3597501,61.8667141,57.3608888,61.8671527,57.3608871,61.8671562,57.3611417,61.8666243,57.3611438,61.8666211,57.3609171,61.8664435,57.3609178",1970-01-01T00:00:01Z,1,1,,apartments,Паровозников,,5.0,way/68009035,Артёмовский,623782.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,"POLYGON ((61.8653026 57.3591825, 61.8653026 57.3581434, 61.8655961 57.3581434, 61.8655961 57.3591825, 61.8653026 57.3591825))","61.8653026,57.3591825,61.8653026,57.3581434,61.8655961,57.3581434,61.8655961,57.3591825,61.8653026,57.3591825",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,5.0,way/68009036,Артёмовский,623782.0,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,"POLYGON ((61.8685954 57.3606798, 61.8685622 57.3595265, 61.8688145 57.3595244, 61.8688478 57.3606777, 61.8685954 57.3606798))","61.8685954,57.3606798,61.8685622,57.3595265,61.8688145,57.3595244,61.8688478,57.3606777,61.8685954,57.3606798",1970-01-01T00:00:01Z,1,1,,apartments,Заводская,,5.0,way/68009039,Артёмовский,623782.0,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,"POLYGON ((61.8555175 57.3642058, 61.8555363 57.3637245, 61.8557437 57.3637269, 61.8557249 57.3642081, 61.8555175 57.3642058))","61.8555175,57.3642058,61.8555363,57.3637245,61.8557437,57.3637269,61.8557249,57.3642081,61.8555175,57.3642058",1970-01-01T00:00:01Z,1,1,,apartments,Спортивный,,,way/68009040,Артёмовский,623782.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,"POLYGON ((61.8654126 57.3640676, 61.8654119 57.3639514, 61.8676767 57.3639477, 61.8676774 57.3640639, 61.8654126 57.3640676))","61.8654126,57.3640676,61.8654119,57.3639514,61.8676767,57.3639477,61.8676774,57.3640639,61.8654126,57.3640676",1970-01-01T00:00:01Z,1,1,,apartments,Энгельса,,5.0,way/68313239,Артёмовский,623782.0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,"POLYGON ((61.8641743 57.3562531, 61.8641743 57.3559908, 61.8644001 57.3559908, 61.8644001 57.3562531, 61.8641743 57.3562531))","61.8641743,57.3562531,61.8641743,57.3559908,61.8644001,57.3559908,61.8644001,57.3562531,61.8641743,57.3562531",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,,way/68313242,Артёмовский,623782.0,140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,"POLYGON ((61.8641514 57.355574, 61.8641336 57.3552647, 61.8643738 57.3552607, 61.8643916 57.35557, 61.8641514 57.355574))","61.8641514,57.355574,61.8641336,57.3552647,61.8643738,57.3552607,61.8643916,57.35557,61.8641514,57.355574",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,,way/68313244,Артёмовский,623782.0,144,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,"POLYGON ((61.8630748 57.3566211, 61.8630748 57.3563588, 61.8633006 57.3563588, 61.8633006 57.3566211, 61.8630748 57.3566211))","61.8630748,57.3566211,61.8630748,57.3563588,61.8633006,57.3563588,61.8633006,57.3566211,61.8630748,57.3566211",1970-01-01T00:00:01Z,1,1,,apartments,Крылова,,,way/68313246,Артёмовский,623782.0,93,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,"POLYGON ((61.8635446 57.3566082, 61.8635333 57.3564624, 61.863989 57.3564521, 61.8640003 57.3565979, 61.8635446 57.3566082))","61.8635446,57.3566082,61.8635333,57.3564624,61.863989,57.3564521,61.8640003,57.3565979,61.8635446,57.3566082",1970-01-01T00:00:01Z,1,1,,apartments,Кронштадтская,,,way/68313247,Артёмовский,623782.0,1А,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,"POLYGON ((61.864142 57.3559089, 61.864142 57.3556466, 61.8643678 57.3556466, 61.8643678 57.3559089, 61.864142 57.3559089))","61.864142,57.3559089,61.864142,57.3556466,61.8643678,57.3556466,61.8643678,57.3559089,61.864142,57.3559089",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,,way/68313252,Артёмовский,623782.0,142,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,"POLYGON ((61.8700748 57.3591173, 61.8702336 57.3590502, 61.8708102 57.3594474, 61.8706514 57.3595145, 61.8700748 57.3591173))","61.8700748,57.3591173,61.8702336,57.3590502,61.8708102,57.3594474,61.8706514,57.3595145,61.8700748,57.3591173",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,5.0,way/68313253,Артёмовский,623782.0,96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,"POLYGON ((61.8636725 57.3550514, 61.8637902 57.3549547, 61.8642037 57.355101, 61.864086 57.3551977, 61.8636725 57.3550514))","61.8636725,57.3550514,61.8637902,57.3549547,61.8642037,57.355101,61.864086,57.3551977,61.8636725,57.3550514",1970-01-01T00:00:01Z,1,1,,apartments,Линейная,,,way/68313254,Артёмовский,623782.0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,"POLYGON ((61.8632141 57.355504, 61.8636765 57.3553266, 61.8637966 57.3554176, 61.8633342 57.3555951, 61.8632141 57.355504))","61.8632141,57.355504,61.8636765,57.3553266,61.8637966,57.3554176,61.8633342,57.3555951,61.8632141,57.355504",1970-01-01T00:00:01Z,1,1,,apartments,Крылова,,,way/68313258,Артёмовский,623782.0,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,"POLYGON ((61.8652586 57.3611165, 61.8652574 57.3609556, 61.8653371 57.3609554, 61.8657032 57.3609547, 61.8657043 57.3611156, 61.8652586 57.3611165))","61.8652586,57.3611165,61.8652574,57.3609556,61.8653371,57.3609554,61.8657032,57.3609547,61.8657043,57.3611156,61.8652586,57.3611165",1970-01-01T00:00:01Z,1,1,,yes,Полярников,,,way/68313260,Артёмовский,623782.0,29,3,участок мировых судей,courthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,"POLYGON ((61.8630355 57.3559179, 61.8630355 57.3556556, 61.8632613 57.3556556, 61.8632613 57.3559179, 61.8630355 57.3559179))","61.8630355,57.3559179,61.8630355,57.3556556,61.8632613,57.3556556,61.8632613,57.3559179,61.8630355,57.3559179",1970-01-01T00:00:01Z,1,1,,apartments,Крылова,,,way/68313262,Артёмовский,623782.0,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,"POLYGON ((61.8624695 57.3562659, 61.8624695 57.3559661, 61.8626785 57.3559661, 61.8626785 57.3562659, 61.8624695 57.3562659))","61.8624695,57.3562659,61.8624695,57.3559661,61.8626785,57.3559661,61.8626785,57.3562659,61.8624695,57.3562659",1970-01-01T00:00:01Z,1,1,,apartments,Крылова,,,way/68313263,Артёмовский,623782.0,124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,"POLYGON ((61.8642003 57.3565976, 61.8642003 57.3563352, 61.864426 57.3563352, 61.864426 57.3565976, 61.8642003 57.3565976))","61.8642003,57.3565976,61.8642003,57.3563352,61.864426,57.3563352,61.864426,57.3565976,61.8642003,57.3565976",1970-01-01T00:00:01Z,1,1,,apartments,Полярников,,,way/68313266,Артёмовский,623782.0,138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,"POLYGON ((61.8630664 57.3562598, 61.8630664 57.3559975, 61.8632922 57.3559975, 61.8632922 57.3562598, 61.8630664 57.3562598))","61.8630664,57.3562598,61.8630664,57.3559975,61.8632922,57.3559975,61.8632922,57.3562598,61.8630664,57.3562598",1970-01-01T00:00:01Z,1,1,,apartments,Крылова,,,way/68313270,Артёмовский,623782.0,95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,"POLYGON ((61.8613605 57.3544951, 61.8610301 57.3543647, 61.861161 57.3542682, 61.8614914 57.3543985, 61.8613605 57.3544951))","61.8613605,57.3544951,61.8610301,57.3543647,61.861161,57.3542682,61.8614914,57.3543985,61.8613605,57.3544951",1970-01-01T00:00:01Z,1,1,,industrial,Линейная,,,way/86984634,Артёмовский,623782.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,"POLYGON ((61.8600533 57.3541755, 61.8600551 57.354075, 61.8603416 57.3540766, 61.8603398 57.3541771, 61.8600533 57.3541755))","61.8600533,57.3541755,61.8600551,57.354075,61.8603416,57.3540766,61.8603398,57.3541771,61.8600533,57.3541755",1970-01-01T00:00:01Z,1,1,,house,Линейная,,,way/86984636,Артёмовский,623782.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,"POLYGON ((61.8691167 57.3575749, 61.8688728 57.3576705, 61.8684778 57.3573772, 61.8687196 57.3572824, 61.8688544 57.3573825, 61.8687943 57.3574061, 61.8689124 57.3574938, 61.8689746 57.3574694, 61.8691167 57.3575749))","61.8691167,57.3575749,61.8688728,57.3576705,61.8684778,57.3573772,61.8687196,57.3572824,61.8688544,57.3573825,61.8687943,57.3574061,61.8689124,57.3574938,61.8689746,57.3574694,61.8691167,57.3575749",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,,way/86984638,Артёмовский,623782.0,49,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,"POLYGON ((61.8682431 57.3584205, 61.8681934 57.3583845, 61.8685785 57.35823, 61.86862 57.3582601, 61.8687696 57.3582001, 61.8689151 57.3583056, 61.8687388 57.3583763, 61.868678 57.3583322, 61.868347 57.3584651, 61.86841 57.3585108, 61.8682149 57.3585891, 61.8680752 57.3584878, 61.8682431 57.3584205))","61.8682431,57.3584205,61.8681934,57.3583845,61.8685785,57.35823,61.86862,57.3582601,61.8687696,57.3582001,61.8689151,57.3583056,61.8687388,57.3583763,61.868678,57.3583322,61.868347,57.3584651,61.86841,57.3585108,61.8682149,57.3585891,61.8680752,57.3584878,61.8682431,57.3584205",1970-01-01T00:00:01Z,1,1,,kindergarten,Короленко,,,way/86984639,Артёмовский,623782.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,"POLYGON ((61.8567749 57.3570922, 61.8567714 57.3569691, 61.857172 57.3569658, 61.8571755 57.3570889, 61.8567749 57.3570922))","61.8567749,57.3570922,61.8567714,57.3569691,61.857172,57.3569658,61.8571755,57.3570889,61.8567749,57.3570922",1970-01-01T00:00:01Z,1,1,,apartments,Кронштадтская,,,way/86984640,Артёмовский,623782.0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,"POLYGON ((61.8667279 57.3566886, 61.8669581 57.3565954, 61.8673323 57.3568642, 61.8670906 57.3569621, 61.8669543 57.3568642, 61.8670145 57.3568398, 61.8668931 57.3567526, 61.8668445 57.3567723, 61.8667279 57.3566886))","61.8667279,57.3566886,61.8669581,57.3565954,61.8673323,57.3568642,61.8670906,57.3569621,61.8669543,57.3568642,61.8670145,57.3568398,61.8668931,57.3567526,61.8668445,57.3567723,61.8667279,57.3566886",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,2.0,way/86984642,Артёмовский,623782.0,138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,"POLYGON ((61.8695357 57.358113, 61.8697115 57.3580425, 61.870226 57.3584156, 61.8700502 57.3584861, 61.8695357 57.358113))","61.8695357,57.358113,61.8697115,57.3580425,61.870226,57.3584156,61.8700502,57.3584861,61.8695357,57.358113",1970-01-01T00:00:01Z,1,1,,apartments,Свободы,,,way/86984645,Артёмовский,623782.0,45А,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,"POLYGON ((61.8557369 57.3565797, 61.8563056 57.3565874, 61.8563213 57.356248, 61.8565122 57.3562506, 61.8564912 57.3567019, 61.8557317 57.3566916, 61.8557369 57.3565797))","61.8557369,57.3565797,61.8563056,57.3565874,61.8563213,57.356248,61.8565122,57.3562506,61.8564912,57.3567019,61.8557317,57.3566916,61.8557369,57.3565797",1970-01-01T00:00:01Z,1,1,,apartments,Кронштадтская,,,way/86984646,Артёмовский,623782.0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,"POLYGON ((61.869498 57.3576216, 61.8697791 57.3575311, 61.8699259 57.3576639, 61.8696448 57.3577544, 61.869498 57.3576216))","61.869498,57.3576216,61.8697791,57.3575311,61.8699259,57.3576639,61.8696448,57.3577544,61.869498,57.3576216",1970-01-01T00:00:01Z,1,1,,apartments,8 Марта,,,way/86984649,Артёмовский,623782.0,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,"POLYGON ((61.8674223 57.3554829, 61.8676679 57.3554119, 61.8679718 57.3557175, 61.8677248 57.355789, 61.8676154 57.3556789, 61.867663 57.3556651, 61.8675581 57.3555596, 61.8675118 57.355573, 61.8674223 57.3554829))","61.8674223,57.3554829,61.8676679,57.3554119,61.8679718,57.3557175,61.8677248,57.355789,61.8676154,57.3556789,61.867663,57.3556651,61.8675581,57.3555596,61.8675118,57.355573,61.8674223,57.3554829",1970-01-01T00:00:01Z,1,1,,apartments,8 Марта,,,way/86984650,Артёмовский,623782.0,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
